rank,series_id,name,global_name,units,price,link,image_url,series_url,manufacturer,manufacturer_ja
87,358.0,途胜,ツーソン (Tucson),1134.0,15.98-20.78万,https://www.autohome.com.cn/358/#pvareaid=6861512,public/autohome_images/87_86_途胜.png,https://www.autohome.com.cn/358/#pvareaid=6861512,现代,Hyundai
88,6120.0,凡尔赛C5 X,C5 X,1115.0,13.77-18.67万,https://www.autohome.com.cn/6120/#pvareaid=6861512,public/autohome_images/88_87_凡尔赛C5_X.png,https://www.autohome.com.cn/6120/#pvareaid=6861512,雪铁龙,Citroën
89,8160.0,捷达VS8,VS8,1028.0,11.99-13.79万,https://www.autohome.com.cn/8160/#pvareaid=6861512,public/autohome_images/89_88_捷达VS8.png,https://www.autohome.com.cn/8160/#pvareaid=6861512,捷达,Jetta
90,6369.0,smart精灵#1,smart #1,,15.49-24.99万,https://www.autohome.com.cn/6369/#pvareaid=6861512,public/autohome_images/90_89_smart精灵_1.png,https://www.autohome.com.cn/6369/#pvareaid=6861512,smart,smart
91,7223.0,宝马iX1,iX1,,22.80-26.80万,https://www.autohome.com.cn/7223/#pvareaid=6861512,public/autohome_images/91_90_宝马iX1.png,https://www.autohome.com.cn/7223/#pvareaid=6861512,宝马,BMW
92,880.0,奥德赛,オデッセイ,,23.58-32.88万,https://www.autohome.com.cn/880/#pvareaid=6861512,public/autohome_images/92_91_奥德赛.png,https://www.autohome.com.cn/880/#pvareaid=6861512,本田,ホンダ
93,3521.0,揽胜极光,Range Rover Evoque,,42.98-47.58万,https://www.autohome.com.cn/3521/#pvareaid=6861512,public/autohome_images/93_92_揽胜极光.png,https://www.autohome.com.cn/3521/#pvareaid=6861512,路虎,路虎
94,4871.0,奥迪Q2L,Q2L,,17.18-21.00万,https://www.autohome.com.cn/4871/#pvareaid=6861512,public/autohome_images/94_93_奥迪Q2L.png,https://www.autohome.com.cn/4871/#pvareaid=6861512,奥迪,Audi
95,7925.0,奥迪E5 Sportback,E5 Sportback,,23.59-31.99万,https://www.autohome.com.cn/7925/#pvareaid=6861512,public/autohome_images/95_94_奥迪E5_Sportback.png,https://www.autohome.com.cn/7925/#pvareaid=6861512,奥迪AUDI,Audi
96,6265.0,大众ID.3,ID.3,,12.99-15.59万,https://www.autohome.com.cn/6265/#pvareaid=6861512,public/autohome_images/96_95_大众ID_3.png,https://www.autohome.com.cn/6265/#pvareaid=6861512,大众,Volkswagen
97,4856.0,凯迪拉克XT4,XT4,,22.97-27.57万,https://www.autohome.com.cn/4856/#pvareaid=6861512,public/autohome_images/97_96_凯迪拉克XT4.png,https://www.autohome.com.cn/4856/#pvareaid=6861512,凯迪拉克,Cadillac
98,6477.0,林肯Z,Lincoln Zephyr,,23.58-36.58万,https://www.autohome.com.cn/6477/#pvareaid=6861512,public/autohome_images/98_97_林肯Z.png,https://www.autohome.com.cn/6477/#pvareaid=6861512,林肯,Lincoln
99,5757.0,航海家,ノーチラス (Nautilus),,30.58-46.88万,https://www.autohome.com.cn/5757/#pvareaid=6861512,public/autohome_images/99_98_航海家.png,https://www.autohome.com.cn/5757/#pvareaid=6861512,林肯,Lincoln
100,5556.0,探险者,Explorer,,30.98-39.98万,https://www.autohome.com.cn/5556/#pvareaid=6861512,public/autohome_images/100_99_探险者.png,https://www.autohome.com.cn/5556/#pvareaid=6861512,福特,Ford
101,5785.0,ID.4 CROZZ,ID.4 CROZZ,,14.99-20.76万,https://www.autohome.com.cn/5785/#pvareaid=6861512,public/autohome_images/101_100_ID_4_CROZZ.png,https://www.autohome.com.cn/5785/#pvareaid=6861512,大众,Volkswagen
102,905.0,一汽-大众CC,CC,,22.49-24.99万,https://www.autohome.com.cn/905/#pvareaid=6861512,public/autohome_images/102_101_一汽-大众CC.png,https://www.autohome.com.cn/905/#pvareaid=6861512,大众,Volkswagen
103,6430.0,领睿,Equator,,9.88-16.55万,https://www.autohome.com.cn/6430/#pvareaid=6861512,public/autohome_images/103_102_领睿.png,https://www.autohome.com.cn/6430/#pvareaid=6861512,福特,Ford
104,2649.0,索纳塔,ソナタ (Sonata),,13.98-18.68万,https://www.autohome.com.cn/2649/#pvareaid=6861512,public/autohome_images/104_103_索纳塔.png,https://www.autohome.com.cn/2649/#pvareaid=6861512,现代,Hyundai
105,7684.0,smart精灵#5,smart #5,,18.99-37.99万,https://www.autohome.com.cn/7684/#pvareaid=6861512,public/autohome_images/105_104_smart精灵_5.png,https://www.autohome.com.cn/7684/#pvareaid=6861512,smart,smart
106,5245.0,揽境,Talagon,,26.99-29.99万,https://www.autohome.com.cn/5245/#pvareaid=6861512,public/autohome_images/106_105_揽境.png,https://www.autohome.com.cn/5245/#pvareaid=6861512,大众,Volkswagen
107,81.0,飞度,Fit,,6.68-12.98万,https://www.autohome.com.cn/81/#pvareaid=6861512,public/autohome_images/107_106_飞度.png,https://www.autohome.com.cn/81/#pvareaid=6861512,本田,ホンダ
108,8100.0,别克至境L7,Envista L7,,17.39-21.99万,https://www.autohome.com.cn/8100/#pvareaid=6861512,public/autohome_images/108_107_别克至境L7.png,https://www.autohome.com.cn/8100/#pvareaid=6861512,别克,Buick
109,987.0,标致408,Peugeot 408,,10.97-11.87万,https://www.autohome.com.cn/987/#pvareaid=6861512,public/autohome_images/109_108_标致408.png,https://www.autohome.com.cn/987/#pvareaid=6861512,标致,标致
110,3582.0,本田XR-V,XR-V,,11.99-13.99万,https://www.autohome.com.cn/3582/#pvareaid=6861512,public/autohome_images/110_109_本田XR-V.png,https://www.autohome.com.cn/3582/#pvareaid=6861512,本田,ホンダ
111,7827.0,宝马2系,2シリーズ,,20.80-22.80万,https://www.autohome.com.cn/7827/#pvareaid=6861512,public/autohome_images/111_110_宝马2系.png,https://www.autohome.com.cn/7827/#pvareaid=6861512,宝马,BMW
112,7413.0,奥迪Q6L e-tron,奥迪Q6L e-tron,,27.98-39.98万,https://www.autohome.com.cn/7413/#pvareaid=6861512,public/autohome_images/112_111_奥迪Q6L_e-tron.png,https://www.autohome.com.cn/7413/#pvareaid=6861512,奥迪,Audi
113,4206.0,沃尔沃S90,S90,,40.69-50.59万,https://www.autohome.com.cn/4206/#pvareaid=6861512,public/autohome_images/113_112_沃尔沃S90.png,https://www.autohome.com.cn/4206/#pvareaid=6861512,沃尔沃,Volvo
114,3294.0,马自达3 昂克赛拉,Mazda3 Axela,,8.99-18.99万,https://www.autohome.com.cn/3294/#pvareaid=6861512,public/autohome_images/114_113_马自达3_昂克赛拉.png,https://www.autohome.com.cn/3294/#pvareaid=6861512,马自达,マツダ
115,7344.0,宝马i5,i5,,36.80-53.99万,https://www.autohome.com.cn/7344/#pvareaid=6861512,public/autohome_images/115_114_宝马i5.png,https://www.autohome.com.cn/7344/#pvareaid=6861512,宝马,BMW
116,7082.0,马自达CX-50行也,CX-50,,13.98-23.98万,https://www.autohome.com.cn/7082/#pvareaid=6861512,public/autohome_images/116_115_马自达CX-50行也.png,https://www.autohome.com.cn/7082/#pvareaid=6861512,马自达,マツダ
117,2084.0,威霆,Elysion Breeze,,33.68-38.68万,https://www.autohome.com.cn/2084/#pvareaid=6861512,public/autohome_images/117_116_威霆.png,https://www.autohome.com.cn/2084/#pvareaid=6861512,奔驰,Mercedes-Benz
118,,缤智,Vezel,,11.98-13.58万,,public/autohome_images/118_117_缤智.png,,,
119,,东风本田S7,S7,,19.99-24.99万,,public/autohome_images/119_118_东风本田S7.png,,,
120,,福特烈马,Bronco,,29.98-49.88万,,public/autohome_images/120_119_福特烈马.png,,,
121,7224.0,冠道,Avancier,,23.98-29.28万,https://www.autohome.com.cn/7224/#pvareaid=6861512,public/autohome_images/121_120_冠道.png,https://www.autohome.com.cn/7224/#pvareaid=6861512,福特,Ford
122,3823.0,奔驰V级,Vクラス,,49.68-66.98万,https://www.autohome.com.cn/3823/#pvareaid=6861512,public/autohome_images/122_121_奔驰V级.png,https://www.autohome.com.cn/3823/#pvareaid=6861512,奔驰,Mercedes-Benz
123,4764.0,奔驰A级,Aクラス,,25.13-27.57万,https://www.autohome.com.cn/4764/#pvareaid=6861512,public/autohome_images/123_122_奔驰A级.png,https://www.autohome.com.cn/4764/#pvareaid=6861512,奔驰,Mercedes-Benz
124,7043.0,别克E5,E5,,16.99-21.19万,https://www.autohome.com.cn/7043/#pvareaid=6861512,public/autohome_images/124_123_别克E5.png,https://www.autohome.com.cn/7043/#pvareaid=6861512,别克,Buick
125,3462.0,雷凌,レビン,,11.38-14.88万,https://www.autohome.com.cn/3462/#pvareaid=6861512,public/autohome_images/125_124_雷凌.png,https://www.autohome.com.cn/3462/#pvareaid=6861512,丰田,トヨタ
126,5998.0,奥迪A7L,A7L,,41.87-66.62万,https://www.autohome.com.cn/5998/#pvareaid=6861512,public/autohome_images/126_125_奥迪A7L.png,https://www.autohome.com.cn/5998/#pvareaid=6861512,奥迪,Audi
