category_id,category,month,rank,series_id,name,units,price,link,image_url,series_url,manufacturer
456,新能源,2025-11,7,8171,钛7,24019.0,17.98-23.98万,https://www.autohome.com.cn/8171/#pvareaid=6861512,public/autohome_energy/guochan/images/456/7_6_钛7.png,https://www.autohome.com.cn/8171/#pvareaid=6861512,方程豹
456,新能源,2025-11,8,6762,海鸥,21807.0,6.98-8.59万,https://www.autohome.com.cn/6762/#pvareaid=6861512,public/autohome_energy/guochan/images/456/8_7_海鸥.png,https://www.autohome.com.cn/6762/#pvareaid=6861512,比亚迪
456,新能源,2025-11,9,7981,海豹05 DM-i,21002.0,7.98-10.38万,https://www.autohome.com.cn/7981/#pvareaid=6861512,public/autohome_energy/guochan/images/456/9_8_海豹05_DM-i.png,https://www.autohome.com.cn/7981/#pvareaid=6861512,比亚迪
456,新能源,2025-11,10,7538,元UP,20628.0,7.48-11.98万,https://www.autohome.com.cn/7538/#pvareaid=6861512,public/autohome_energy/guochan/images/456/10_9_元UP.png,https://www.autohome.com.cn/7538/#pvareaid=6861512,比亚迪
456,新能源,2025-11,11,8189,缤果S,17959.0,6.68-8.98万,https://www.autohome.com.cn/8189/#pvareaid=6861512,public/autohome_energy/guochan/images/456/11_10_缤果S.png,https://www.autohome.com.cn/8189/#pvareaid=6861512,五菱汽车
456,新能源,2025-11,12,7578,秦L,17864.0,9.68-15.38万,https://www.autohome.com.cn/7578/#pvareaid=6861512,public/autohome_energy/guochan/images/456/12_11_秦L.png,https://www.autohome.com.cn/7578/#pvareaid=6861512,比亚迪
456,新能源,2025-11,13,6139,海豚,17320.0,9.98-12.98万,https://www.autohome.com.cn/6139/#pvareaid=6861512,public/autohome_energy/guochan/images/456/13_12_海豚.png,https://www.autohome.com.cn/6139/#pvareaid=6861512,比亚迪
456,新能源,2025-11,14,6924,熊猫,17301.0,4.69-5.39万,https://www.autohome.com.cn/6924/#pvareaid=6861512,public/autohome_energy/guochan/images/456/14_13_熊猫.png,https://www.autohome.com.cn/6924/#pvareaid=6861512,吉利银河
456,新能源,2025-11,15,7588,海豹06,16764.0,9.68-13.98万,https://www.autohome.com.cn/7588/#pvareaid=6861512,public/autohome_energy/guochan/images/456/15_14_海豹06.png,https://www.autohome.com.cn/7588/#pvareaid=6861512,比亚迪
456,新能源,2025-11,16,8003,问界M8,16284.0,35.98-45.98万,https://www.autohome.com.cn/8003/#pvareaid=6861512,public/autohome_energy/guochan/images/456/16_15_问界M8.png,https://www.autohome.com.cn/8003/#pvareaid=6861512,AITO 问界
456,新能源,2025-11,17,7382,零跑C10,15390.0,12.28-14.28万,https://www.autohome.com.cn/7382/#pvareaid=6861512,public/autohome_energy/guochan/images/456/17_16_零跑C10.png,https://www.autohome.com.cn/7382/#pvareaid=6861512,零跑汽车
456,新能源,2025-11,18,6998,小鹏MONA M03,14846.0,11.98-15.18万,https://www.autohome.com.cn/6998/#pvareaid=6861512,public/autohome_energy/guochan/images/456/18_17_小鹏MONA_M03.png,https://www.autohome.com.cn/6998/#pvareaid=6861512,小鹏
456,新能源,2025-11,19,7650,银河E5,14223.0,10.98-17.98万,https://www.autohome.com.cn/7650/#pvareaid=6861512,public/autohome_energy/guochan/images/456/19_18_银河E5.png,https://www.autohome.com.cn/7650/#pvareaid=6861512,吉利银河
456,新能源,2025-11,20,8086,极狐T1,14162.0,6.28-13.08万,https://www.autohome.com.cn/8086/#pvareaid=6861512,public/autohome_energy/guochan/images/456/20_19_极狐T1.png,https://www.autohome.com.cn/8086/#pvareaid=6861512,ARCFOX极狐
456,新能源,2025-11,21,6651,MG4,13574.0,6.88-10.28万,https://www.autohome.com.cn/6651/#pvareaid=6861512,public/autohome_energy/guochan/images/456/21_20_MG4.png,https://www.autohome.com.cn/6651/#pvareaid=6861512,名爵
456,新能源,2025-11,22,8006,零跑B01,13401.0,8.98-14.97万,https://www.autohome.com.cn/8006/#pvareaid=6861512,public/autohome_energy/guochan/images/456/22_21_零跑B01.png,https://www.autohome.com.cn/8006/#pvareaid=6861512,零跑汽车
456,新能源,2025-11,23,5279,宋Pro新能源,12973.0,10.28-13.38万,https://www.autohome.com.cn/5279/#pvareaid=6861512,public/autohome_energy/guochan/images/456/23_22_宋Pro新能源.png,https://www.autohome.com.cn/5279/#pvareaid=6861512,比亚迪
456,新能源,2025-11,24,7231,奔腾小马,12905.0,3.49-5.39万,https://www.autohome.com.cn/7231/#pvareaid=6861512,public/autohome_energy/guochan/images/456/24_23_奔腾小马.png,https://www.autohome.com.cn/7231/#pvareaid=6861512,奔腾
456,新能源,2025-11,25,8158,银河A7 EM,12899.0,8.98-13.18万,https://www.autohome.com.cn/8158/#pvareaid=6861512,public/autohome_energy/guochan/images/456/25_24_银河A7_EM.png,https://www.autohome.com.cn/8158/#pvareaid=6861512,吉利银河
456,新能源,2025-11,26,6962,小米SU7,12520.0,21.99-30.39万,https://www.autohome.com.cn/6962/#pvareaid=6861512,public/autohome_energy/guochan/images/456/26_25_小米SU7.png,https://www.autohome.com.cn/6962/#pvareaid=6861512,小米汽车
456,新能源,2025-11,27,7864,银河星舰7,12001.0,10.18-12.98万,https://www.autohome.com.cn/7864/#pvareaid=6861512,public/autohome_energy/guochan/images/456/27_26_银河星舰7.png,https://www.autohome.com.cn/7864/#pvareaid=6861512,吉利银河
456,新能源,2025-11,28,6674,长安Lumin,11744.0,3.79-6.59万,https://www.autohome.com.cn/6674/#pvareaid=6861512,public/autohome_energy/guochan/images/456/28_27_长安Lumin.png,https://www.autohome.com.cn/6674/#pvareaid=6861512,长安启源
456,新能源,2025-11,29,7815,宋L DM-i,10791.0,13.58-17.58万,https://www.autohome.com.cn/7815/#pvareaid=6861512,public/autohome_energy/guochan/images/456/29_28_宋L_DM-i.png,https://www.autohome.com.cn/7815/#pvareaid=6861512,比亚迪
456,新能源,2025-11,30,4427,蔚来ES8,10689.0,40.68-45.68万,https://www.autohome.com.cn/4427/#pvareaid=6861512,public/autohome_energy/guochan/images/456/30_29_蔚来ES8.png,https://www.autohome.com.cn/4427/#pvareaid=6861512,蔚来
456,新能源,2025-11,31,8205,尚界H5,10672.0,15.98-19.98万,https://www.autohome.com.cn/8205/#pvareaid=6861512,public/autohome_energy/guochan/images/456/31_30_尚界H5.png,https://www.autohome.com.cn/8205/#pvareaid=6861512,尚界
456,新能源,2025-11,32,7165,银河M9,10639.0,18.38-26.98万,https://www.autohome.com.cn/7165/#pvareaid=6861512,public/autohome_energy/guochan/images/456/32_31_银河M9.png,https://www.autohome.com.cn/7165/#pvareaid=6861512,吉利银河
456,新能源,2025-11,33,7076,魏牌 高山,10416.0,27.28-35.38万,https://www.autohome.com.cn/7076/#pvareaid=6861512,public/autohome_energy/guochan/images/456/33_32_魏牌_高山.png,https://www.autohome.com.cn/7076/#pvareaid=6861512,魏牌
456,新能源,2025-11,34,7740,深蓝S05,10283.0,11.99-14.99万,https://www.autohome.com.cn/7740/#pvareaid=6861512,public/autohome_energy/guochan/images/456/34_33_深蓝S05.png,https://www.autohome.com.cn/7740/#pvareaid=6861512,深蓝汽车
456,新能源,2025-11,35,7730,智界R7,10006.0,24.98-31.98万,https://www.autohome.com.cn/7730/#pvareaid=6861512,public/autohome_energy/guochan/images/456/35_34_智界R7.png,https://www.autohome.com.cn/7730/#pvareaid=6861512,智界
